index,sekki,kanji,romaji,en,la_reading,plant_ids,approx_month,approx_day
"30",,"半夏生","Hange shōzu","Crow-dipper sprouts","","",,
"31",,"温風至","Atsukaze itaru","Warm winds blow","","",,
"32",,"蓮始開","Hasu hajimete hiraku","Lotus flowers open","","",,
"33",,"鷹乃学習","Taka sunawachi waza o narau","Young hawks learn to fly","","",,
"34",,"桐始結花","Kiri hajimete hana o musubu","Paulownia trees set fruit","","crape-myrtle|golden-rain-tree",,
"35",,"土潤溽暑","Tsuchi uruōte mushi atsushi","Earth is damp, air is humid","","",,
"36",,"大雨時行","Taiu tokidoki furu","Great rains sometimes fall","","",,
"37",,"涼風至","Suzukaze itaru","Cool winds first blow","","",,
"38",,"寒蝉鳴","Higurashi naku","Evening cicadas sing","","",,
"39",,"蒙霧升降","Fukaki kiri matō","Thick fog descends","","",,
"40",,"綿柎開","Wata no hana shibe hiraku","Cotton bolls open","","",,
"41",,"天地始粛","Tenchi hajimete samushi","Heaven and earth begin to cool","","",,
"42",,"禾乃登","Kokumono sunawachi minoru","Rice ripens","","donated-persimmon|pomegranate",,
"43",,"草露白","Kusa no tsuyu shiroshi","Dew glistens on grass","","",,
"44",,"鶺鴒鳴","Sekirei naku","Wagtails start to sing","","",,
"45",,"玄鳥去","Tsubame saru","Swallows depart","","",,
"46",,"雷乃収声","Kaminari sunawachi koe o osamu","Thunder ceases","","",,
"47",,"蟄虫坏戸","Mushi kakurete to o fusagu","Insects shut their burrows","","",,
"48",,"水始涸","Mizu hajimete karuru","Farmers drain rice fields","","",,
"49",,"鴻雁来","Kōgan kitaru","Wild geese return","","",,
"50",,"菊花開","Kiku no hana hiraku","Chrysanthemums bloom","","sasanqua-camellia",,
"51",,"蟋蟀在戸","Kirigirisu to ni ari","Crickets sing by the door","","",,
"52",,"霜始降","Shimo hajimete furu","First frosts fall","","",,
"53",,"霎時施","Kosame tokidoki furu","Light rains sometimes fall","","",,
"54",,"楓蔦黄","Momiji tsuta kibamu","Maples and ivy turn yellow","","japanese-maple|japanese-elm",,
"55",,"山茶始開","Tsubaki hajimete hiraku","Sasanqua camellias open","","sasanqua-camellia",,
"56",,"地始凍","Chi hajimete kōru","Land begins to freeze","","",,
"57",,"金盞香","Kinsenka saku","Daffodils bloom","","",,
"58",,"虹蔵不見","Niji kakurete miezu","Rainbows hide","","",,
"59",,"朔風払葉","Kitakaze konoha o harau","North wind strips leaves","","",,
"60",,"橘始黄","Tachibana hajimete kibamu","Tachibana citrus turns yellow","","heavenly-bamboo|japanese-holly",,
"61",,"閉塞成冬","Sora samuku fuyu to naru","Cold seals the sky into winter","","",,
"62",,"熊蟄穴","Kuma ana ni komoru","Bears retreat to dens","","",,
"63",,"鱖魚群","Sake no uo muragaru","Salmon swim upstream","","",,
"64",,"乃東生","Natsukarekusa shōzu","Self-heal sprouts","","",,
"65",,"麋角解","Sawashika no tsuno otsuru","Deer shed antlers","","",,
"66",,"雪下出麦","Yuki watarite mugi nobiru","Wheat sprouts under snow","","dwarf-sacred-bamboo",,
"67",,"芹乃栄","Seri sunawachi sakau","Parsley flourishes","","",,
"68",,"水泉動","Shimizu atataka o fukumu","Springs start to thaw","","",,
"69",,"雉始雊","Kiji hajimete naku","Pheasants start to call","","",,
"70",,"款冬華","Fuki no hana saku","Butterbur flowers bloom","","japanese-camellia",,
"71",,"水沢腹堅","Sawamizu kōri tsumeru","Stream-ice thickens","","",,
"72",,"鶏始乳","Niwatori hajimete toya ni tsuku","Hens start laying again","","",,
